Social Media Platform,Number of users ,,,,,,,
,United States ,Indonesia ,Singapore ,China ,India ,Vietnam ,Philippines,Bangladesh
Bilibili,,,,"27400000 (2019, 30)",,,,
Facebook,"190000000 (2020, 31)","120000000 (2020, 31)","4450000 (2020, 32)","3000000 (2020, 36)","280000000 (2020, 31)","63000000 (2020, 31)","72000000 (2020, 31)","37000000 (2020, 31)"
Instagram,"107000000 (2020, 33)","5984000,0 (2020, 34)","2110000 (2020, 35)","3600000 (2020, 37)","88000000 (2020, 38)","8000000 (2019, 39)","11000,00 (2020, 38)","1 676 100 (2019, 40)"
Linkedln,"160000000 (2020, 41)","1524000,0 (2020, 42)","2 682 000 (2019, 43)","5397000 (2019, 44)","62000000 (2020, 45)","3 087 500 (2019, 46)","2773485 (2019, 47)","2 990 000 (2019, 48)"
Tencent QQ,,,,"659100000 (2020, 49)",,,,
Tik Tok,"45400000 (2020, 50)","81000000 (2020, 51)","800,000‬ (2020, 52)","400000000 (2020, 53)","120000,000 (2019, 54)","12000000 (2019, 55)",,
Twitter,"55700000 (2019, 56)","11800000 (2020, 57)","1370000 (2020, 58)","3200000 (2020, 59)","1315000,0 (2020, 57)","127000000 (2020, 60)","104000,00 (2019, 61)","3000000 (2020, 62)"
WeChat,,,"1000000 (2020, 63)","900,000,000‬ (2019, 64)",,,,
Weibo,,,"800000 (2019, 65)","480000000 (2019, 66)",,"6000,00",,
Youtube ,"192000000 (2018, 67)","132000000 (2019, 68)","43000000 (2020, 63)","580000000 (2019, 69)","265000000 (2020, 70)","62000,00 (2020, 71)",,"29000000 (2020, 72)"
,,,,,,,,
,,,,,,,,
